index,date,ON
563,28-Jul-2016,0.325
564,29-Jul-2016,0.065
565,1-Aug-2016,0.045
566,2-Aug-2016,0.05
567,3-Aug-2016,0.16
568,4-Aug-2016,0.58
569,5-Aug-2016,0.185
570,8-Aug-2016,0.18
571,9-Aug-2016,0.14
572,10-Aug-2016,0.12
573,11-Aug-2016,0.27
574,12-Aug-2016,0.13
575,15-Aug-2016,0.32
576,16-Aug-2016,0.16
577,17-Aug-2016,0.16
578,18-Aug-2016,0.145
579,19-Aug-2016,0.13
580,22-Aug-2016,0.32
581,23-Aug-2016,0.32
582,24-Aug-2016,0.14
583,25-Aug-2016,0.63
584,26-Aug-2016,0.17
585,29-Aug-2016,0.35
586,30-Aug-2016,0.575
587,31-Aug-2016,0.16
588,1-Sep-2016,0.53
589,2-Sep-2016,0.13
590,5-Sep-2016,0.1
591,6-Sep-2016,0.09
592,7-Sep-2016,0.145
593,8-Sep-2016,0.21
594,9-Sep-2016,0.055
595,12-Sep-2016,0.06
596,13-Sep-2016,0.1
597,14-Sep-2016,0.25
598,15-Sep-2016,0.325
599,16-Sep-2016,0.195
600,19-Sep-2016,0.18
601,20-Sep-2016,0.18
602,21-Sep-2016,0.21
603,22-Sep-2016,0.62
604,23-Sep-2016,0.19
605,26-Sep-2016,0.2
606,27-Sep-2016,0.22
607,28-Sep-2016,0.195
608,29-Sep-2016,2.795
609,30-Sep-2016,0.38
610,3-Oct-2016,0.32
611,4-Oct-2016,0.355
612,5-Oct-2016,0.13
613,6-Oct-2016,0.16
614,7-Oct-2016,0.115
615,10-Oct-2016,0.085
616,11-Oct-2016,0.1
617,12-Oct-2016,0.395
618,13-Oct-2016,0.21
619,14-Oct-2016,0.25
620,17-Oct-2016,0.28
621,18-Oct-2016,0.23
622,19-Oct-2016,0.515
623,20-Oct-2016,0.17
624,21-Oct-2016,0.14
625,24-Oct-2016,0.145
626,25-Oct-2016,0.15
627,26-Oct-2016,0.46
628,27-Oct-2016,0.335
629,28-Oct-2016,0.465
630,31-Oct-2016,0.23
631,1-Nov-2016,0.17
632,2-Nov-2016,0.38
633,3-Nov-2016,0.285
634,4-Nov-2016,0.12
635,7-Nov-2016,0.12
636,8-Nov-2016,0.12
637,9-Nov-2016,0.37
638,10-Nov-2016,-0.01
639,11-Nov-2016,0.13573306845501065
640,14-Nov-2016,0.11
641,15-Nov-2016,0.145
